PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,Age,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
Single Family Res,0.46,RESIDENTIAL,C," $97,549.00 "," $413,222.00 ",1312.0,1312.0,2000.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,594.0,1.0,260.0,0.0,,0.0,,0.0,,0.0,,1.0,210.0,0.0,,420000.0,2022-11-28,0.0,Residential,76.0,420000.0,12.948009990259552,7.179307969504034,10.808147174770038,0.0,0.0,431478.0638966059
Single Family Res,0.46,RESIDENTIAL,C," $97,549.00 "," $413,222.00 ",1312.0,1312.0,2000.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,594.0,1.0,260.0,0.0,,0.0,,0.0,,0.0,,1.0,210.0,0.0,,420000.0,2022-11-28,0.0,Land Sales,76.0,420000.0,12.948009990259552,7.179307969504034,10.808147174770038,0.0,0.0,448528.05799327744
Single Family Res,0.38,RESIDENTIAL,C," $89,986.00 "," $435,307.00 ",1764.0,1300.0,2001.0,3.0,One Story,3.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,,315000.0,2025-03-12,0.0,Residential,52.0,315000.0,12.66032791780777,7.475339236566737,28.055190538764784,0.328515111695138,9.85545335085414,313830.15979599004
Single Family Res,0.38,RESIDENTIAL,C," $89,986.00 "," $435,307.00 ",1764.0,1300.0,2001.0,3.0,One Story,3.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,,315000.0,2025-03-12,0.0,Land Sales,52.0,315000.0,12.66032791780777,7.475339236566737,28.055190538764784,0.328515111695138,9.85545335085414,317539.74906965735
Single Family Res,0.22,RESIDENTIAL,C," $71,436.00 "," $375,768.00 ",1522.0,0.0,2001.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,125.0,0.0,,410000.0,2024-06-03,0.0,Residential,51.0,410000.0,12.92391243868049,7.3277805384216315,28.055190538764784,0.328515111695138,0.5913272010512484,407022.1641857718
Single Family Res,0.22,RESIDENTIAL,C," $71,436.00 "," $375,768.00 ",1522.0,0.0,2001.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,125.0,0.0,,410000.0,2024-06-03,0.0,Land Sales,51.0,410000.0,12.92391243868049,7.3277805384216315,28.055190538764784,0.328515111695138,0.5913272010512484,416501.5240802903
Vacant,0.17,RESIDENTIAL,C," $64,065.00 "," $64,065.00 ",1862.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,410000.0,2022-02-08,0.0,Residential,,410000.0,12.92391243868049,7.529406457837013,1.1826544021024967,0.0,0.0,410968.3640258213
Vacant,0.17,RESIDENTIAL,C," $64,065.00 "," $64,065.00 ",1862.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,410000.0,2022-02-08,0.0,Land Sales,,410000.0,12.92391243868049,7.529406457837013,1.1826544021024967,0.0,0.0,427599.596014964
Single Family Res,0.19,RESIDENTIAL,C," $67,146.00 "," $211,298.00 ",2923.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1728.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,485000.0,2023-12-04,0.0,Residential,,485000.0,13.091904169919621,7.980365765111246,22.996057818659658,0.0,0.0,514020.58190461673
Single Family Res,0.19,RESIDENTIAL,C," $67,146.00 "," $211,298.00 ",2923.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1728.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,485000.0,2023-12-04,0.0,Land Sales,,485000.0,13.091904169919621,7.980365765111246,22.996057818659658,0.0,0.0,533712.5940863353
Single Family Res,0.25,RESIDENTIAL,C," $75,399.00 "," $579,439.00 ",3091.0,0.0,2006.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,671.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Residential,40.0,485000.0,13.091904169919621,8.036249942132116,22.996057818659658,0.0,0.0,514020.58190461673
Single Family Res,0.25,RESIDENTIAL,C," $75,399.00 "," $579,439.00 ",3091.0,0.0,2006.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,671.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Land Sales,40.0,485000.0,13.091904169919621,8.036249942132116,22.996057818659658,0.0,0.0,533712.5940863353
Single Family Res,0.21,RESIDENTIAL,C," $70,046.00 "," $481,788.00 ",1547.0,1547.0,2011.0,3.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,506.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Residential,25.0,485000.0,13.091904169919621,7.344072850573066,22.996057818659658,0.0,0.0,514020.58190461673
Single Family Res,0.21,RESIDENTIAL,C," $70,046.00 "," $481,788.00 ",1547.0,1547.0,2011.0,3.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,506.0,2.0,,,,,,,,,,,,,,,,,485000.0,2023-12-04,0.0,Land Sales,25.0,485000.0,13.091904169919621,7.344072850573066,22.996057818659658,0.0,0.0,533712.5940863353
Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $433,245.00 ",1214.0,1184.0,2009.0,3.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,576.0,2.0,,,,,,,,,,,,,,,,,438500.0,2025-06-13,0.0,Residential,28.0,438500.0,12.991115090794375,7.101675971619444,28.055190538764784,0.328515111695138,12.910643889618921,437385.98829910083
Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $433,245.00 ",1214.0,1184.0,2009.0,3.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,576.0,2.0,,,,,,,,,,,,,,,,,438500.0,2025-06-13,0.0,Land Sales,28.0,438500.0,12.991115090794375,7.101675971619444,28.055190538764784,0.328515111695138,12.910643889618921,440914.05053960433
Vacant,0.18,RESIDENTIAL,C," $65,630.00 "," $405,726.00 ",1653.0,0.0,2025.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,492.0,2.0,,,,,,,,,,,,,,,,,399245.0,2025-09-15,0.0,Residential,1.0,399245.0,12.897330542517311,7.410347097821024,28.055190538764784,0.328515111695138,15.99868593955322,398704.73653793236
Vacant,0.18,RESIDENTIAL,C," $65,630.00 "," $405,726.00 ",1653.0,0.0,2025.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,492.0,2.0,,,,,,,,,,,,,,,,,399245.0,2025-09-15,0.0,Land Sales,1.0,399245.0,12.897330542517311,7.410347097821024,28.055190538764784,0.328515111695138,15.99868593955322,400413.5466190525
Exempt,4.37,GOVERNMENTAL,C, $-   , $-   ,1880.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,640000.0,2023-12-07,0.0,Residential,,640000.0,13.369223455335854,7.539027055823995,23.0946123521682,0.0,0.0,678466.0894560211
Exempt,4.37,GOVERNMENTAL,C, $-   , $-   ,1880.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,640000.0,2023-12-07,0.0,Land Sales,,640000.0,13.369223455335854,7.539027055823995,23.0946123521682,0.0,0.0,704451.3617585662
Exempt,0.01,GOVERNMENTAL,C, $-   , $-   ,1168.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,425000.0,2024-06-05,0.0,Residential,,425000.0,12.959844447906553,7.0630481633881725,28.055190538764784,0.328515111695138,0.657030223390276,421923.8980808503
Exempt,0.01,GOVERNMENTAL,C, $-   , $-   ,1168.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,425000.0,2024-06-05,0.0,Land Sales,,425000.0,12.959844447906553,7.0630481633881725,28.055190538764784,0.328515111695138,0.657030223390276,431715.80015681474
Single Family Res,0.34,RESIDENTIAL,C," $85,856.00 "," $525,907.00 ",2337.0,0.0,2014.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,606.0,2.0,0.0,,0.0,,1.0,550.0,0.0,,0.0,,0.0,,0.0,,0.0,,565000.0,2023-12-21,0.0,Residential,18.0,565000.0,13.244581010128577,7.756623334538858,23.554533508541393,0.0,0.0,599662.8727019418
Single Family Res,0.34,RESIDENTIAL,C," $85,856.00 "," $525,907.00 ",2337.0,0.0,2014.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,606.0,2.0,0.0,,0.0,,1.0,550.0,0.0,,0.0,,0.0,,0.0,,0.0,,565000.0,2023-12-21,0.0,Land Sales,18.0,565000.0,13.244581010128577,7.756623334538858,23.554533508541393,0.0,0.0,622602.7159643383
Single Family Res,0.5,RESIDENTIAL,C," $130,327.00 "," $656,941.00 ",2636.0,0.0,2012.0,4.0,One and One Half,3.0,1.0,0.0,1.0,1.0,0.0,0.0,768.0,2.0,2.0,750.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,657500.0,2024-02-02,0.0,Residential,28.0,657500.0,13.396200043034057,7.877017895622398,24.967148488830485,0.0,0.0,700361.978343138
Single Family Res,0.5,RESIDENTIAL,C," $130,327.00 "," $656,941.00 ",2636.0,0.0,2012.0,4.0,One and One Half,3.0,1.0,0.0,1.0,1.0,0.0,0.0,768.0,2.0,2.0,750.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,657500.0,2024-02-02,0.0,Land Sales,28.0,657500.0,13.396200043034057,7.877017895622398,24.967148488830485,0.0,0.0,727056.2316739359
Exempt,0.02,GOVERNMENTAL,C, $-   , $-   ,3270.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,430000.0,2025-11-19,0.0,Residential,,430000.0,12.971540487669746,8.0925452638913,28.055190538764784,0.328515111695138,18.134034165571617,429771.50396027096
Exempt,0.02,GOVERNMENTAL,C, $-   , $-   ,3270.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,430000.0,2025-11-19,0.0,Land Sales,,430000.0,12.971540487669746,8.0925452638913,28.055190538764784,0.328515111695138,18.134034165571617,430493.57694670814
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $272,640.00 ",1344.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,50.0,0.0,,349500.0,2022-04-24,0.0,Residential,30.0,349500.0,12.764258840656002,7.203405521083095,3.6465177398160313,0.0,0.0,352538.66581370955
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $272,640.00 ",1344.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,50.0,0.0,,349500.0,2022-04-24,0.0,Land Sales,30.0,349500.0,12.764258840656002,7.203405521083095,3.6465177398160313,0.0,0.0,366719.30600509816
Single Family Res,0.14,RESIDENTIAL,C," $47,438.00 "," $263,589.00 ",1056.0,0.0,2016.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,110.0,0.0,,320000.0,2025-07-30,0.0,Residential,30.0,320000.0,12.676076274775909,6.962243464266207,28.055190538764784,0.328515111695138,14.45466491458607,319376.9485540509
Single Family Res,0.14,RESIDENTIAL,C," $47,438.00 "," $263,589.00 ",1056.0,0.0,2016.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,110.0,0.0,,320000.0,2025-07-30,0.0,Land Sales,30.0,320000.0,12.676076274775909,6.962243464266207,28.055190538764784,0.328515111695138,14.45466491458607,321348.87718989846
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,337500.0,2023-08-03,0.0,Residential,30.0,337500.0,12.729320789294722,7.2196420401307355,18.95532194480946,0.0,0.0,354019.4142536865
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,335000.0,2024-05-15,0.0,Residential,30.0,335000.0,12.721885810807203,7.2196420401307355,28.055190538764784,0.2956636005256242,0.0,335113.5769671592
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,337500.0,2023-08-03,0.0,Land Sales,30.0,337500.0,12.729320789294722,7.2196420401307355,18.95532194480946,0.0,0.0,367723.25847248384
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $286,715.00 ",1366.0,0.0,2008.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,70.0,0.0,,335000.0,2024-05-15,0.0,Land Sales,30.0,335000.0,12.721885810807203,7.2196420401307355,28.055190538764784,0.2956636005256242,0.0,343624.15894775843
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $263,546.00 ",1370.0,0.0,2007.0,3.0,Two Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,,,,,,,,,,,,,,,,,320000.0,2024-10-04,0.0,Residential,33.0,320000.0,12.676076274775909,7.222566018822171,28.055190538764784,0.328515111695138,4.6320630749014455,318170.71978554386
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $263,546.00 ",1370.0,0.0,2007.0,3.0,Two Story,2.0,1.0,0.0,1.0,1.0,0.0,0.0,480.0,2.0,,,,,,,,,,,,,,,,,320000.0,2024-10-04,0.0,Land Sales,33.0,320000.0,12.676076274775909,7.222566018822171,28.055190538764784,0.328515111695138,4.6320630749014455,323984.05907776614
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $360,294.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,355000.0,2022-12-23,0.0,Residential,3.0,355000.0,12.779873068457553,7.283448228756631,11.629434954007884,0.0,0.0,365468.09084314824
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $360,294.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,355000.0,2022-12-23,0.0,Land Sales,3.0,355000.0,12.779873068457553,7.283448228756631,11.629434954007884,0.0,0.0,379879.97432954545
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $362,178.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,365000.0,2023-01-03,0.0,Residential,3.0,365000.0,12.80765263256463,7.283448228756631,11.990801576872535,0.0,0.0,376110.2033391861
Single Family Res,0.13,RESIDENTIAL,C," $47,438.00 "," $362,178.00 ",1456.0,0.0,2023.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,525.0,2.0,,,,,,,,,,,,,,,,,365000.0,2023-01-03,0.0,Land Sales,3.0,365000.0,12.80765263256463,7.283448228756631,11.990801576872535,0.0,0.0,390928.29812571063
Single Family Res,0.12,RESIDENTIAL,C," $47,438.00 "," $377,192.00 ",1619.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,484.0,2.0,,,,,,,,,,,,,,,,,445000.0,2022-07-22,0.0,Residential,20.0,445000.0,13.005829561148378,7.389563953677635,6.570302233902759,0.0,0.0,452236.0407080114
Single Family Res,0.12,RESIDENTIAL,C," $47,438.00 "," $377,192.00 ",1619.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,484.0,2.0,,,,,,,,,,,,,,,,,445000.0,2022-07-22,0.0,Land Sales,20.0,445000.0,13.005829561148378,7.389563953677635,6.570302233902759,0.0,0.0,470296.00924066064
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $550,806.00 ",2464.0,1364.0,2013.0,3.5,Two Story,4.0,0.0,0.1,1.0,1.0,0.0,0.0,703.0,2.0,,,,,,,,,,,,,,,,,460000.0,2023-01-26,0.0,Residential,20.0,460000.0,13.038981768465277,7.80954132465341,12.746386333771353,0.0,0.0,474918.21706972696
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $550,806.00 ",2464.0,1364.0,2013.0,3.5,Two Story,4.0,0.0,0.1,1.0,1.0,0.0,0.0,703.0,2.0,,,,,,,,,,,,,,,,,460000.0,2023-01-26,0.0,Land Sales,20.0,460000.0,13.038981768465277,7.80954132465341,12.746386333771353,0.0,0.0,493593.6680818692
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $345,824.00 ",1633.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,373.0,2.0,,,,,,,,,,,,,,,,,426500.0,2025-06-13,0.0,Residential,20.0,426500.0,12.963367645913872,7.398174092970465,28.055190538764784,0.328515111695138,12.910643889618921,425416.47436617216
Single Family Res,0.17,RESIDENTIAL,C," $21,748.00 "," $345,824.00 ",1633.0,0.0,2013.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,373.0,2.0,,,,,,,,,,,,,,,,,426500.0,2025-06-13,0.0,Land Sales,20.0,426500.0,12.963367645913872,7.398174092970465,28.055190538764784,0.328515111695138,12.910643889618921,428847.9875829903
Res Plex (2 - 4),6.13,DUPLEX,C," $202,272.00 "," $400,010.00 ",2106.0,0.0,2002.0,2.5,Duplex,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,360000.0,2022-04-11,0.0,Residential,47.0,360000.0,12.793859310432293,7.652545692693921,3.219448094612352,0.0,0.0,362733.7814596635
Res Plex (2 - 4),6.13,DUPLEX,C," $202,272.00 "," $400,010.00 ",2106.0,0.0,2002.0,2.5,Duplex,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,360000.0,2022-04-11,0.0,Land Sales,47.0,360000.0,12.793859310432293,7.652545692693921,3.219448094612352,0.0,0.0,377339.8561787753
Single Family Res,0.5,RESIDENTIAL,C," $87,952.00 "," $409,781.00 ",1900.0,0.0,2001.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,1.0,896.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,454900.0,2022-09-28,0.0,Residential,48.0,454900.0,13.027832893558095,7.549609165154532,8.804204993429698,0.0,0.0,464944.2350953523
Single Family Res,0.5,RESIDENTIAL,C," $87,952.00 "," $409,781.00 ",1900.0,0.0,2001.0,3.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,2.0,1.0,896.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,454900.0,2022-09-28,0.0,Land Sales,48.0,454900.0,13.027832893558095,7.549609165154532,8.804204993429698,0.0,0.0,483408.8776390313
Manufactured Home,0.235,RESIDENTIAL,C," $73,454.00 "," $220,352.00 ",1053.0,0.0,2007.0,2.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,270000.0,2022-10-07,0.0,Residential,33.0,270000.0,12.506177237980511,6.959398512133975,9.099868593955321,0.0,0.0,276170.25410378125
Manufactured Home,0.235,RESIDENTIAL,C," $73,454.00 "," $220,352.00 ",1053.0,0.0,2007.0,2.0,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,270000.0,2022-10-07,0.0,Land Sales,33.0,270000.0,12.506177237980511,6.959398512133975,9.099868593955321,0.0,0.0,287129.9060735937
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,225000.0,2025-03-05,0.0,Residential,41.0,225000.0,12.323855681186558,7.149916836132109,28.055190538764784,0.328515111695138,9.625492772667542,224144.5424813658
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,225000.0,2025-03-05,0.0,Land Sales,41.0,225000.0,12.323855681186558,7.149916836132109,28.055190538764784,0.328515111695138,9.625492772667542,226857.47729576644
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,258750.0,2023-07-27,0.0,Residential,41.0,258750.0,12.463617623561715,7.149916836132109,18.725361366622863,0.0,0.0,271255.3983064624
Res Condo,0.0,CONDOMINIUM / TOWNHOUSE,C," $3,300.00 "," $154,000.00 ",1274.0,0.0,2003.0,3.0,8 Unit Building,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,258750.0,2023-07-27,0.0,Land Sales,41.0,258750.0,12.463617623561715,7.149916836132109,18.725361366622863,0.0,0.0,281761.674167027
Single Family Res,0.398,RESIDENTIAL,C," $91,763.00 "," $240,282.00 ",1224.0,64.0,1994.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,275000.0,2023-08-22,0.0,Residential,145.0,275000.0,12.524526376648708,7.1098794630722715,19.579500657030223,0.0,0.0,288920.8428052781
Single Family Res,0.398,RESIDENTIAL,C," $91,763.00 "," $240,282.00 ",1224.0,64.0,1994.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,275000.0,2023-08-22,0.0,Land Sales,145.0,275000.0,12.524526376648708,7.1098794630722715,19.579500657030223,0.0,0.0,300086.9329578008
Single Family Res,0.4,RESIDENTIAL,C," $91,957.00 "," $324,717.00 ",1776.0,605.0,1996.0,2.5,One Story,2.0,0.0,0.0,1.0,1.0,442.0,0.0,0.0,0.0,1.0,1000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,335000.0,2022-07-22,0.0,Residential,76.0,335000.0,12.721885810807203,7.4821189235521155,6.570302233902759,0.0,0.0,340447.35648805357
Single Family Res,0.4,RESIDENTIAL,C," $91,957.00 "," $324,717.00 ",1776.0,605.0,1996.0,2.5,One Story,2.0,0.0,0.0,1.0,1.0,442.0,0.0,0.0,0.0,1.0,1000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,335000.0,2022-07-22,0.0,Land Sales,76.0,335000.0,12.721885810807203,7.4821189235521155,6.570302233902759,0.0,0.0,354043.06313622766
Single Family Res,0.35,RESIDENTIAL,C," $86,914.00 "," $384,691.00 ",1736.0,50.0,2000.0,4.0,One and One Half,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,368.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,99.0,0.0,,350000.0,2023-01-05,0.0,Residential,66.0,350000.0,12.765688433465597,7.459338895220296,12.056504599211562,0.0,0.0,360714.1920888585
Single Family Res,0.35,RESIDENTIAL,C," $86,914.00 "," $384,691.00 ",1736.0,50.0,2000.0,4.0,One and One Half,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,368.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,99.0,0.0,,350000.0,2023-01-05,0.0,Land Sales,66.0,350000.0,12.765688433465597,7.459338895220296,12.056504599211562,0.0,0.0,374923.36518963904
Single Family Res,0.48,RESIDENTIAL,C," $99,319.00 "," $483,979.00 ",1450.0,1450.0,1999.0,3.5,One Story,2.0,1.0,1.0,1.0,1.0,0.0,0.0,825.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,150.0,0.0,,455000.0,2023-06-16,0.0,Residential,59.0,455000.0,13.028052697933088,7.27931883541462,17.378449408672797,0.0,0.0,475350.8469082063
Single Family Res,0.48,RESIDENTIAL,C," $99,319.00 "," $483,979.00 ",1450.0,1450.0,1999.0,3.5,One Story,2.0,1.0,1.0,1.0,1.0,0.0,0.0,825.0,2.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,150.0,0.0,,455000.0,2023-06-16,0.0,Land Sales,59.0,455000.0,13.028052697933088,7.27931883541462,17.378449408672797,0.0,0.0,493825.47944490035
Single Family Res,0.23,RESIDENTIAL,C," $72,790.00 "," $478,123.00 ",1804.0,1066.0,2014.0,3.0,Two Story,2.0,1.0,0.86,1.0,1.0,0.0,0.0,567.0,2.0,1.0,640.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,170.0,0.0,,475000.0,2025-03-14,0.0,Residential,19.0,475000.0,13.071070083016778,7.4977617006225685,28.055190538764784,0.328515111695138,9.921156373193167,473247.93339307286
Single Family Res,0.23,RESIDENTIAL,C," $72,790.00 "," $478,123.00 ",1804.0,1066.0,2014.0,3.0,Two Story,2.0,1.0,0.86,1.0,1.0,0.0,0.0,567.0,2.0,1.0,640.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,170.0,0.0,,475000.0,2025-03-14,0.0,Land Sales,19.0,475000.0,13.071070083016778,7.4977617006225685,28.055190538764784,0.328515111695138,9.921156373193167,478803.62338282005
